Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town
Castilla León,León,Villazanzo de Valderaduey,42.53504,-4.963682,916.1418,525,307,242,POINT (-4.963682 42.53504),SAHAGÚN,Villazanzo de Valderaduey
Castilla León,León,Zotes del Páramo,42.27202,-5.735958,782.1282,487,279,216,POINT (-5.735958 42.27202),EL PÁRAMO,Zotes del Páramo
Castilla León,Palencia,Abarca de Campos,42.0624,-4.840821,758.1901,39,24,17,POINT (-4.840821 42.0624),CAMPOS,Abarca de Campos
Castilla León,Palencia,Abia de las Torres,42.41972,-4.421913,836.1696,182,96,80,POINT (-4.421913 42.41972),CAMPOS,Abia de las Torres
Castilla León,Palencia,Aguilar de Campoo,42.79245,-4.260221,897.081,7164,3515,3727,POINT (-4.260221 42.79245),AGUILAR,Aguilar de Campoo
Castilla León,Palencia,Alar del Rey,42.659890000000004,-4.311825,853.8849,1030,501,544,POINT (-4.311825 42.65989),BOEDO-OJEDA,Alar del Rey
Castilla León,Palencia,Alba de Cerrato,41.81252,-4.366223000000001,780.3799,87,49,43,POINT (-4.366223000000001 41.81252),EL CERRATO,Alba de Cerrato
Castilla León,Palencia,Amayuelas de Arriba,42.21093,-4.489736,787.3027,40,22,15,POINT (-4.489736 42.21093),CAMPOS,Amayuelas de Arriba
Castilla León,Palencia,Ampudia,41.91397,-4.7801290000000005,794.2702,628,317,273,POINT (-4.780129000000001 41.91397),CAMPOS,Ampudia
Castilla León,Palencia,Amusco,42.17311,-4.47014,773.6923,440,246,210,POINT (-4.47014 42.17311),CAMPOS,Amusco
Castilla León,Palencia,Antigüedad,41.94587,-4.118328,833.6262,407,220,187,POINT (-4.118328 41.94587),EL CERRATO,Antigüedad
Castilla León,Palencia,Arconada,42.328109999999995,-4.495456,804.9647,40,27,22,POINT (-4.495456 42.32811),CAMPOS,Arconada
Castilla León,Palencia,Astudillo,42.192409999999995,-4.294691,788.4464,1073,578,556,POINT (-4.294691 42.19241),CAMPOS,Astudillo
Castilla León,Palencia,Autilla del Pino,41.99172,-4.633556,870.6778,246,136,104,POINT (-4.633556 41.99172),CAMPOS,Autilla del Pino
Castilla León,Palencia,Autillo de Campos,42.08715,-4.833488,762.9597,147,84,84,POINT (-4.833488 42.08715),CAMPOS,Autillo de Campos
Castilla León,Palencia,Ayuela,42.626059999999995,-4.660476999999999,952.0762,60,38,27,POINT (-4.660476999999999 42.62606),SALDAÑA-VALDAVIA,Ayuela
Castilla León,Palencia,Baltanás,41.93716,-4.245831,784.0414,1318,713,640,POINT (-4.245831 41.93716),EL CERRATO,Baltanás
Castilla León,Palencia,Baquerín de Campos,42.016020000000005,-4.78178,749.9719,35,21,16,POINT (-4.78178 42.01602),CAMPOS,Baquerín de Campos
